Country,Date of Admission
afghanistan,19-Nov-46
albania,14-Dec-55
algeria,8-Oct-62
andorra,28-Jul-93
angola,1-Dec-76
antigua and barbuda,11-Nov-81
argentina,24-Oct-45
armenia,2-Mar-92
australia,1-Nov-45
austria,14-Dec-55
azerbaijan,2-Mar-92
bahamas,18-Sep-73
bahrain,21-Sep-71
bangladesh,17-Sep-74
barbados,9-Dec-66
belarus,24-Oct-45
belgium,27-Dec-45
belize,25-Sep-81
benin,20-Sep-60
bhutan,21-Sep-71
bolivia,14-Nov-45
bosnia and herzegovina,22-May-92
botswana,17-Oct-66
brazil,24-Oct-45
brunei darussalam,21-Sep-84
bulgaria,14-Dec-55
burkina faso,20-Sep-60
burundi,18-Sep-62
cambodia,14-Dec-55
cameroon,20-Sep-60
canada,9-Nov-45
cape verde,16-Sep-75
central african republic,20-Sep-60
chad,20-Sep-60
chile,24-Oct-45
china,24-Oct-45
colombia,5-Nov-45
comoros,12-Nov-75
congo,20-Sep-60
costa rica,2-Nov-45
côte d’ivoire,20-Sep-60
croatia,22-May-92
cuba,24-Oct-45
cyprus,20-Sep-60
czech republic,19-Jan-93
democratic people’s republic of korea,17-Sep-91
democratic republic of the congo,20-Sep-60
denmark,24-Oct-45
djibouti,20-Sep-77
dominica,18-Dec-78
dominican republic,24-Oct-45
ecuador,21-Dec-45
egypt,24-Oct-45
el salvador,24-Oct-45
equatorial guinea,12-Nov-68
eritrea,28-May-93
estonia,17-Sep-91
ethiopia,13-Nov-45
fiji,13-Oct-70
finland,14-Dec-55
france,24-Oct-45
gabon,20-Sep-60
gambia,21-Sep-65
georgia,31-Jul-92
germany,18-Sep-73
ghana,8-Mar-57
greece,25-Oct-45
grenada,17-Sep-74
guatemala,21-Nov-45
guinea,12-Dec-58
guinea-bissau,17-Sep-74
guyana,20-Sep-66
haiti,24-Oct-45
honduras,17-Dec-45
hungary,14-Dec-55
iceland,19-Nov-46
india,30-Oct-45
indonesia,28-Sep-50
iran,24-Oct-45
iraq,21-Dec-45
ireland,14-Dec-55
israel,11-May-49
italy,14-Dec-55
jamaica,18-Sep-62
japan,18-Dec-56
jordan,14-Dec-55
kazakhstan,2-Mar-92
kenya,16-Dec-63
kiribati,14-Sep-99
kuwait,14-May-63
kyrgyzstan,2-Mar-92
lao people’s democratic republic,14-Dec-55
latvia,17-Sep-91
lebanon,24-Oct-45
lesotho,17-Oct-66
liberia,2-Nov-45
libya,14-Dec-55
liechtenstein,18-Sep-90
lithuania,17-Sep-91
luxembourg,24-Oct-45
madagascar,20-Sep-60
malawi,1-Dec-64
malaysia,17-Sep-57
maldives,21-Sep-65
mali,28-Sep-60
malta,1-Dec-64
marshall islands,17-Sep-91
mauritania,27-Oct-61
mauritius,24-Apr-68
mexico,7-Nov-45
micronesia,17-Sep-91
monaco,28-May-93
mongolia,27-Oct-61
montenegro,28-Jun-06
morocco,12-Nov-56
mozambique,16-Sep-75
myanmar,19-Apr-48
namibia,23-Apr-90
nauru,14-Sep-99
nepal,14-Dec-55
netherlands,10-Dec-45
new zealand,24-Oct-45
nicaragua,24-Oct-45
niger,20-Sep-60
nigeria,7-Oct-60
norway,27-Nov-45
oman,7-Oct-71
pakistan,30-Sep-47
palau,15-Dec-94
panama,13-Nov-45
papua new guinea,10-Oct-75
paraguay,24-Oct-45
peru,31-Oct-45
philippines,24-Oct-45
poland,24-Oct-45
portugal,14-Dec-55
qatar,21-Sep-71
republic of korea,17-Sep-91
republic of moldova,2-Mar-92
romania,14-Dec-55
russian federation,24-Oct-45
rwanda,18-Sep-62
saint kitts and nevis,23-Sep-83
saint lucia,18-Sep-79
saint vincent and the grenadines,16-Sep-80
samoa,15-Dec-76
san marino,2-Mar-92
sao tome and principe,16-Sep-75
saudi arabia,24-Oct-45
senegal,28-Sep-60
serbia,1-Nov-00
seychelles,21-Sep-76
sierra leone,27-Sep-61
singapore,21-Sep-65
slovakia,19-Jan-93
slovenia,22-May-92
solomon islands,19-Sep-78
somalia,20-Sep-60
south africa,7-Nov-45
south sudan,14-Jul-11
spain,14-Dec-55
sri lanka,14-Dec-55
sudan,12-Nov-56
suriname,4-Dec-75
swaziland,24-Sep-68
switzerland,10-Sep-02
sweden,19-Nov-46
syria,24-Oct-45
tajikistan,2-Mar-92
thailand,16-Dec-46
the former yugoslav republic of macedonia,8-Apr-93
timor leste,27-Sep-02
togo,20-Sep-60
tonga,14-Sep-99
trinidad and tobago,18-Sep-62
tunisia,12-Nov-56
turkey,24-Oct-45
turkmenistan,2-Mar-92
tuvalu,5-Sep-00
uganda,25-Oct-62
ukraine,24-Oct-45
united arab emirates,9-Dec-71
united kingdom,24-Oct-45
united of republic of tanzania,14-Dec-61
united states,24-Oct-45
uruguay,18-Dec-45
uzbekistan,2-Mar-92
vanuatu,15-Sep-81
venezuela,15-Nov-45
viet nam,20-Sep-77
yemen,30-Sep-47
zambia,1-Dec-64
zimbabwe,25-Aug-80
